PIXELS,CRPIX_RA,CRPIX_DEC,CRVAL_RA [deg],CRVAL_DEC [deg]
10978,-65536.00101999263,12288.000210474689,327.11538461538464,-51.25580694880489
10979,-63488.000987611915,14336.000242855403,330.5769230769231,-51.255806948804874
11078,-67584.00105237335,12288.000210474678,325.8,-52.80185378173062
11079,-65536.00101999262,14336.000242855414,329.40000000000003,-52.80185378173062
11080,-63488.00098761192,16384.00027523611,333.0,-52.80185378173062
11174,-69632.00108475407,12288.000210474667,324.375,-54.34091230386123
11175,-67584.00105237338,14336.000242855353,328.12499999999994,-54.34091230386123
11176,-65536.00101999263,16384.000275236103,331.875,-54.34091230386123
11177,-63488.000987611915,18432.000307616825,335.625,-54.34091230386123
11266,-71680.00111713482,12288.000210474645,322.8260869565217,-55.87335043525199
11267,-69632.0010847541,14336.00024285537,326.73913043478257,-55.87335043525199
11268,-67584.00105237335,16384.00027523612,330.6521739130435,-55.87335043525199
11269,-65536.00101999263,18432.00030761684,334.5652173913044,-55.87335043525199
11355,-71680.00111713479,14336.000242855403,325.22727272727275,-57.39952353962293
11356,-69632.00108475405,16384.000275236136,329.31818181818187,-57.39952353962293
11357,-67584.00105237335,18432.000307616843,333.40909090909093,-57.39952353962293
